Category,Website,Links
General Academics,Google Scholar, scholar.google.com
General Academics,JSTOR, jstor.org
General Academics,Khan Academy, khanacademy.org
General Academics,Crash Course, youtube.com/crashcourse
General Academics,LibGen,libgen.is
General Academics,Chegg,chegg.com
Communication & Collaboration,Gmail,mail.google.com
Communication & Collaboration,Google Drive,drive.google.com
Communication & Collaboration,Slack,slack.com
Communication & Collaboration,Zoom,zoom.us
Time Management & Organization,Google Calendar,calendar.google.com
Time Management & Organization,Todoist,todoist.com
Time Management & Organization,Evernote,evernote.com
Time Management & Organization,Trello,trello.com
Career & Internship,LinkedIn,linkedin.com
Career & Internship,Handshake, joinhandshake.com
Career & Internship,Indeed,indeed.com
Career & Internship,Glassdoor,glassdoor.com
